domain,ba,n_comparable
capture-dependent (BA_window),0.9681564245810056,1790
capture-disjoint (BA_capture),0.7494325919201089,2203
protected future (NOT_YET_AVAILABLE),,
delta_dependence,0.21872383266089668,
delta_future,,
